"DataExtractDate","ReportPeriod","Terminal","Arrival_Departure","Domestic_International","Passenger_Count"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T1","Departure","Domestic","160,413"
"2021 May 03 03:08:02 PM","2021 Mar 01 12:00:00 AM","T5","Departure","Domestic","223,866"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T5","Departure","Domestic","266,035"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T6","Arrival","International","6,195"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T8","Arrival","Domestic","54,925"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T5","Arrival","Domestic","365,255"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","20,394"
"2021 May 03 03:08:02 PM","2021 Mar 01 12:00:00 AM","T6","Arrival","Domestic","110,785"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T7","Departure","International","15,251"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T1","Arrival","Domestic","162,770"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T4","Departure","Domestic","242,919"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","199"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T4","Arrival","Domestic","207,905"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T4","Departure","International","17,142"
"2021 May 03 03:08:02 PM","2021 Mar 01 12:00:00 AM","T5","Arrival","Domestic","220,456"
"2021 Apr 09 10:34:29 AM","2021 Mar 01 12:00:00 AM","T6","Arrival","International","7,495"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T2","Departure","Domestic","258,987"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","244"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T2","Departure","International","19,161"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","19,884"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","65,705"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T8","Departure","Domestic","47,627"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T7","Arrival","Domestic","141,457"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T8","Departure","International","2,953"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T8","Departure","Domestic","49,034"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T5","Arrival","International","49"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T4","Arrival","International","2,351"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T8","Departure","International","1,255"
"2021 May 03 03:08:02 PM","2021 Mar 01 12:00:00 AM","T6","Departure","Domestic","111,915"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","393"
"2021 May 03 03:08:02 PM","2021 Mar 01 12:00:00 AM","T5","Departure","International","1,471"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T4","Arrival","International","3,691"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","TBIT","Departure","Domestic","45,065"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T8","Arrival","Domestic","51,251"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T7","Arrival","International","37,998"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T7","Departure","International","17,475"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T7","Departure","Domestic","138,132"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T2","Departure","Domestic","221,008"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T5","Arrival","International","185"
"2021 Apr 09 10:34:29 AM","2021 Mar 01 12:00:00 AM","T1","Arrival","Domestic","141,929"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T7","Arrival","Domestic","133,224"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T4","Departure","International","11,622"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T5","Departure","International","1,671"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T7","Departure","Domestic","149,482"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T2","Arrival","Domestic","258,613"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","TBIT","Departure","Domestic","43,593"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T4","Departure","Domestic","209,389"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T6","Departure","International","38,619"
"2021 May 10 06:01:09 AM","2021 Apr 01 12:00:00 AM","T2","Arrival","Domestic","294,362"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T6","Arrival","International","10,637"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T7","Arrival","International","47,269"
"2021 Apr 09 10:34:29 AM","2021 Mar 01 12:00:00 AM","T1","Departure","Domestic","140,186"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T6","Arrival","Domestic","134,906"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T4","Departure","Domestic","351,074"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","T2","Departure","International","18,479"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T6","Departure","Domestic","133,773"
"2021 Apr 10 06:01:03 AM","2021 Mar 01 12:00:00 AM","TBIT","Arrival","Domestic","4,399"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T4","Arrival","Domestic","242,914"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","Miscellaneous Terminal","Departure","International","178"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","T5","Arrival","Domestic","271,545"
"2021 May 27 03:16:34 PM","2021 Apr 01 12:00:00 AM","TBIT","Arrival","Domestic","3,322"
"2021 Apr 09 10:34:29 AM","2021 Mar 01 12:00:00 AM","T6","Departure","International","35,582"
"2021 Jun 11 12:35:47 PM","2020 Dec 01 12:00:00 AM","TBIT","Departure","International","130,832"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","Miscellaneous Terminal","Departure","International","306"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T7","Departure","Domestic","269,242"
"2021 Jun 11 12:35:47 PM","2020 Nov 01 12:00:00 AM","TBIT","Arrival","International","114,917"
"2021 Jun 11 12:35:47 PM","2020 Jul 01 12:00:00 AM","TBIT","Arrival","International","59,897"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T6","Arrival","Domestic","158,090"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","T8","Arrival","International","56"
"2021 Jun 09 09:21:54 AM","2021 May 01 12:00:00 AM","T6","Arrival","Domestic","146,268"
"2021 Jun 11 12:35:47 PM","2021 Mar 01 12:00:00 AM","TBIT","Departure","International","92,878"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","TBIT","Arrival","Domestic","3,855"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T7","Arrival","Domestic","222,540"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T7","Departure","Domestic","169,616"
"2021 Jun 11 12:35:47 PM","2020 Jul 01 12:00:00 AM","TBIT","Departure","International","72,626"
"2021 Jun 11 12:35:47 PM","2021 Jan 01 12:00:00 AM","TBIT","Departure","International","90,663"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T4","Arrival","Domestic","303,360"
"2021 Jun 11 12:35:47 PM","2020 Oct 01 12:00:00 AM","TBIT","Arrival","International","109,224"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T6","Arrival","International","2,867"
"2021 Jun 11 12:35:47 PM","2020 Sep 01 12:00:00 AM","TBIT","Arrival","International","88,979"
"2021 Jun 11 12:35:47 PM","2020 Aug 01 12:00:00 AM","TBIT","Departure","International","76,953"
"2021 Jun 11 12:35:47 PM","2021 Feb 01 12:00:00 AM","TBIT","Arrival","International","83,971"
"2021 Jun 09 09:21:54 AM","2021 May 01 12:00:00 AM","T1","Departure","Domestic","184,294"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T8","Departure","Domestic","58,683"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","T5","Departure","Domestic","340,719"
"2021 Jun 11 12:35:47 PM","2020 Sep 01 12:00:00 AM","TBIT","Departure","International","82,096"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T7","Arrival","Domestic","277,464"
"2021 Jun 11 12:35:47 PM","2021 Apr 01 12:00:00 AM","TBIT","Departure","International","110,476"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","TBIT","Arrival","International","208,353"
"2021 Jun 11 12:35:47 PM","2020 Oct 01 12:00:00 AM","TBIT","Departure","International","92,717"
"2021 Jun 11 12:35:47 PM","2021 Feb 01 12:00:00 AM","TBIT","Departure","International","68,791"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T8","Departure","Domestic","106,034"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T4","Departure","Domestic","306,640"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","28,784"
"2021 Jun 09 09:21:54 AM","2021 May 01 12:00:00 AM","T6","Departure","Domestic","148,770"
"2021 Jun 11 12:35:47 PM","2020 Aug 01 12:00:00 AM","TBIT","Arrival","International","76,923"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T6","Departure","International","35,662"
"2021 Jun 09 09:21:54 AM","2021 May 01 12:00:00 AM","T1","Arrival","Domestic","188,164"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T8","Arrival","Domestic","57,833"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T8","Departure","International","6,351"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","320"
"2021 Jun 11 12:35:47 PM","2020 Dec 01 12:00:00 AM","TBIT","Arrival","International","120,988"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","T5","Arrival","Domestic","349,982"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T4","Departure","International","11,960"
"2021 Jun 11 12:35:47 PM","2021 Apr 01 12:00:00 AM","TBIT","Arrival","International","154,701"
"2021 Jun 11 12:35:47 PM","2020 Nov 01 12:00:00 AM","TBIT","Departure","International","98,776"
"2021 Jun 11 12:35:47 PM","2021 Jan 01 12:00:00 AM","TBIT","Arrival","International","142,313"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","30,574"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","T2","Arrival","Domestic","461,734"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T7","Departure","International","26,862"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T7","Arrival","Domestic","167,366"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","T5","Departure","International","7,026"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","TBIT","Departure","Domestic","73,267"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","T2","Departure","International","29,119"
"2021 Jun 29 10:06:21 AM","2021 May 01 12:00:00 AM","T2","Departure","Domestic","395,010"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T7","Arrival","International","50,595"
"2021 Jun 11 12:35:47 PM","2021 Mar 01 12:00:00 AM","TBIT","Arrival","International","121,931"
"2021 Jun 11 12:35:47 PM","2021 May 01 12:00:00 AM","T4","Arrival","International","2,118"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T2","Arrival","International","10,405"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T7","Arrival","International","47,471"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T2","Departure","International","23,863"
"2021 Aug 01 12:00:23 AM","2021 May 01 12:00:00 AM","TBIT","Departure","International","153,421"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T6","Departure","International","41,344"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T8","Arrival","Domestic","69,782"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T4","Arrival","Domestic","355,446"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T5","Departure","International","13,522"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","TBIT","Arrival","International","229,869"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T1","Departure","Domestic","226,122"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","9"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","268"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T8","Departure","International","11,204"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T2","Departure","Domestic","412,607"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T4","Departure","International","13,271"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","TBIT","Departure","International","155,227"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","TBIT","Arrival","International","232,472"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T5","Departure","Domestic","380,047"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T7","Departure","Domestic","222,638"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T2","Arrival","Domestic","488,718"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T1","Arrival","Domestic","226,637"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T8","Arrival","International","2,582"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","67,443"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T4","Arrival","International","70"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T4","Arrival","International","5,010"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","TBIT","Arrival","Domestic","9,244"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T7","Departure","International","41,579"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","Miscellaneous Terminal","Departure","International","232"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","TBIT","Departure","Domestic","103,734"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T2","Departure","International","36,418"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T6","Departure","Domestic","173,414"
"2021 Jul 10 06:01:27 AM","2021 Jun 01 12:00:00 AM","T8","Departure","Domestic","79,154"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","T6","Arrival","Domestic","168,948"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T4","Departure","International","16,205"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","TBIT","Arrival","Domestic","23,064"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T8","Departure","International","7,613"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T6","Departure","International","56,406"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","TBIT West Gates","Departure","International","78,607"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T4","Arrival","Domestic","305,702"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","TBIT West Gates","Arrival","Domestic","41,966"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T6","Departure","Domestic","153,846"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T5","Departure","Domestic","324,390"
"2022 Jun 01 12:00:23 AM","2022 Apr 01 12:00:00 AM","Miscellaneous Terminal","Departure","International","98"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T2","Departure","Domestic","409,055"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T6","Arrival","International","26,968"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T1","Arrival","Domestic","257,390"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T7","Departure","International","22,202"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T8","Arrival","Domestic","102,251"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T2","Arrival","Domestic","486,249"
"2022 May 10 06:01:09 AM","2022 Apr 01 12:00:00 AM","T8","Departure","International","9,832"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","TBIT","Departure","International","155,882"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T5","Departure","International","11,822"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T1","Departure","Domestic","256,173"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","TBIT West Gates","Departure","Domestic","41,620"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","TBIT","Departure","Domestic","112,401"
"2021 Nov 10 06:01:08 AM","2021 Oct 01 12:00:00 AM","T7","Arrival","International","31,361"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","TBIT West Gates","Arrival","International","94,469"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T4","Departure","Domestic","289,360"
"2021 Dec 01 12:00:21 AM","2021 Oct 01 12:00:00 AM","T5","Arrival","Domestic","328,861"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T8","Arrival","International","1,125"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T5","Departure","International","8,831"
"2022 Jun 01 12:00:23 AM","2022 Apr 01 12:00:00 AM","T6","Departure","International","72,269"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T4","Arrival","Domestic","218,336"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","T2","Arrival","Domestic","376,030"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","TBIT","Departure","International","208,377"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","184"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T4","Departure","Domestic","196,678"
"2022 Feb 04 08:32:57 AM","2022 Jan 01 12:00:00 AM","T2","Arrival","International","6,382"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T7","Arrival","Domestic","217,386"
"2023 Apr 01 12:01:02 AM","2023 Feb 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","42,911"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","T6","Arrival","International","16,391"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","T1","Arrival","Domestic","189,825"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","TBIT","Departure","Domestic","98,313"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T8","Departure","International","5,700"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T4","Departure","International","13,405"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","T2","Departure","Domestic","320,957"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T8","Arrival","Domestic","82,488"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","T1","Departure","Domestic","185,211"
"2022 Jun 01 12:00:23 AM","2022 Apr 01 12:00:00 AM","T4","Departure","Domestic","245,871"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","Miscellaneous Terminal","Departure","International","138"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","TBIT West Gates","Arrival","International","96,404"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","TBIT","Arrival","Domestic","21,372"
"2022 May 10 06:01:09 AM","2022 Apr 01 12:00:00 AM","T1","Arrival","Domestic","298,086"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T7","Departure","International","27,678"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","TBIT West Gates","Arrival","Domestic","47,284"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","T2","Departure","International","25,280"
"2022 May 10 06:01:09 AM","2022 Apr 01 12:00:00 AM","T1","Departure","Domestic","291,554"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","T6","Departure","International","43,942"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T7","Departure","Domestic","208,298"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","TBIT West Gates","Departure","International","78,991"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T4","Arrival","International","122"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T8","Departure","Domestic","80,323"
"2022 Jun 01 12:00:23 AM","2022 Apr 01 12:00:00 AM","T6","Arrival","International","34,804"
"2022 May 10 06:01:09 AM","2022 Apr 01 12:00:00 AM","T7","Arrival","Domestic","296,991"
"2022 Feb 07 03:24:29 PM","2022 Jan 01 12:00:00 AM","TBIT West Gates","Departure","Domestic","44,754"
"2022 Mar 01 12:00:19 AM","2022 Jan 01 12:00:00 AM","T7","Arrival","International","33,939"
"2022 Jun 01 12:00:23 AM","2022 Apr 01 12:00:00 AM","T4","Arrival","Domestic","270,232"
"2022 Apr 01 12:00:18 AM","2022 Feb 01 12:00:00 AM","T5","Departure","Domestic","256,746"
"2022 Mar 10 06:01:10 AM","2022 Feb 01 12:00:00 AM","T7","Arrival","Domestic","233,936"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T6","Departure","Domestic","184,175"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","TBIT","Arrival","International","295,595"
"2021 Dec 10 06:01:09 AM","2021 Nov 01 12:00:00 AM","T8","Departure","International","7,114"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","TBIT","Departure","Domestic","118,136"
"2022 Jan 01 12:00:11 AM","2021 Nov 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","241"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T4","Departure","International","12,339"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T7","Departure","Domestic","272,513"
"2021 Aug 10 06:01:10 AM","2021 Jul 01 12:00:00 AM","T2","Departure","Domestic","437,922"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","TBIT","Departure","International","176,665"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T7","Arrival","Domestic","278,658"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T4","Arrival","International","3,148"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T4","Departure","Domestic","362,831"
"2022 Jan 01 12:00:11 AM","2021 Nov 01 12:00:00 AM","TBIT","Arrival","International","279,513"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T4","Arrival","Domestic","358,797"
"2021 Aug 10 06:01:10 AM","2021 Jul 01 12:00:00 AM","T2","Arrival","International","1,611"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","75,326"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T5","Departure","Domestic","443,946"
"2021 Aug 06 09:46:34 AM","2021 Jul 01 12:00:00 AM","T1","Departure","Domestic","258,962"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T5","Arrival","Domestic","441,360"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T8","Departure","Domestic","94,555"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T8","Departure","International","8,587"
"2021 Aug 10 06:01:10 AM","2021 Jul 01 12:00:00 AM","T2","Departure","International","35,349"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T8","Arrival","International","2,330"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T7","Departure","International","46,031"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T6","Arrival","Domestic","181,192"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T6","Departure","International","53,213"
"2021 Aug 10 06:01:10 AM","2021 Jul 01 12:00:00 AM","T2","Arrival","Domestic","536,511"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","74,125"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","Miscellaneous Terminal","Departure","International","242"
"2021 Dec 10 06:01:09 AM","2021 Nov 01 12:00:00 AM","T1","Arrival","Domestic","260,424"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","TBIT","Arrival","Domestic","29,208"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","321"
"2021 Aug 10 12:12:41 PM","2021 Jul 01 12:00:00 AM","T6","Arrival","International","18,712"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T5","Departure","International","21,310"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T7","Arrival","International","52,960"
"2021 Aug 30 11:09:52 AM","2021 Jul 01 12:00:00 AM","T8","Arrival","Domestic","87,089"
"2021 Aug 06 09:46:34 AM","2021 Jul 01 12:00:00 AM","T1","Arrival","Domestic","259,587"
"2021 Sep 29 09:09:13 AM","2021 Aug 01 12:00:00 AM","Miscellaneous Terminal","Departure","Domestic","65,756"
"2021 Sep 29 09:09:13 AM","2021 Aug 01 12:00:00 AM","T6","Arrival","Domestic","171,317"
"2022 Jan 01 12:00:11 AM","2021 Nov 01 12:00:00 AM","T4","Arrival","International","301"
"2021 Aug 01 12:00:23 AM","2021 Jun 01 12:00:00 AM","TBIT West Gates","Departure","International","82,289"
"2021 Sep 10 06:01:13 AM","2021 Aug 01 12:00:00 AM","T2","Arrival","Domestic","503,272"
