"DataExtractDate","ReportPeriod","Terminal","Arrival_Departure","Domestic_International","Passenger_Count"
"2018 Oct 29 10:20:51 AM","2017 Sep 01 12:00:00 AM","T2","Arrival","International","100,772"
"2018 Apr 18 03:12:41 PM","2009 Apr 01 12:00:00 AM","T5","Arrival","International","7,078"
"2018 Apr 18 03:12:41 PM","2011 Aug 01 12:00:00 AM","T5","Arrival","International","29,218"
"2018 Apr 18 03:12:41 PM","2008 Jun 01 12:00:00 AM","T1","Departure","International","306"
"2018 Apr 18 03:12:41 PM","2006 Oct 01 12:00:00 AM","T6","Departure","Domestic","216,110"
"2018 Apr 18 03:12:41 PM","2009 Jun 01 12:00:00 AM","T8","Departure","Domestic","111,739"
"2018 Apr 18 03:12:41 PM","2011 Jun 01 12:00:00 AM","TBIT","Departure","Domestic","6,208"
"2018 Apr 18 03:12:41 PM","2006 Sep 01 12:00:00 AM","T3","Arrival","International","19,726"
"2018 Apr 18 03:12:41 PM","2009 Sep 01 12:00:00 AM","T6","Departure","Domestic","182,653"
"2018 Oct 29 10:20:51 AM","2018 Sep 01 12:00:00 AM","T5","Departure","International","374"
"2018 Apr 18 03:12:41 PM","2010 Jul 01 12:00:00 AM","T2","Departure","International","211,465"
"2018 Apr 18 03:12:41 PM","2008 Feb 01 12:00:00 AM","T5","Departure","Domestic","167,421"
"2018 Apr 18 03:12:41 PM","2007 Apr 01 12:00:00 AM","T2","Departure","Domestic","93,558"
"2018 Apr 18 03:12:41 PM","2007 Mar 01 12:00:00 AM","T8","Departure","International","3,501"
"2018 Apr 18 03:12:41 PM","2009 Nov 01 12:00:00 AM","T3","Arrival","Domestic","156,751"
"2019 Jul 10 06:01:27 AM","2019 Jun 01 12:00:00 AM","T8","Departure","International","12,615"
"2018 Apr 18 03:12:41 PM","2008 Jul 01 12:00:00 AM","T8","Arrival","Domestic","109,063"
"2018 Apr 18 03:12:41 PM","2015 Feb 01 12:00:00 AM","T6","Departure","Domestic","243,781"
"2018 Apr 18 03:12:41 PM","2010 Feb 01 12:00:00 AM","Miscellaneous Terminal","Arrival","International","9"
"2021 Mar 03 10:48:12 AM","2021 Jan 01 12:00:00 AM","T7","Arrival","International","43,720"
"2018 Apr 18 03:12:41 PM","2008 Jan 01 12:00:00 AM","T6","Arrival","International","3,022"
"2018 Apr 18 03:12:41 PM","2007 Dec 01 12:00:00 AM","T8","Departure","International","3,279"
"2018 Apr 18 03:12:41 PM","2016 Sep 01 12:00:00 AM","T2","Departure","International","203,062"
"2018 Apr 18 03:12:41 PM","2009 Apr 01 12:00:00 AM","T4","Arrival","International","36,807"
"2020 Jan 22 06:57:11 AM","2019 Dec 01 12:00:00 AM","T6","Arrival","International","63,788"
"2018 Apr 18 03:12:41 PM","2006 Nov 01 12:00:00 AM","T3","Departure","International","55,265"
"2019 Mar 01 11:09:59 AM","2019 Jan 01 12:00:00 AM","T7","Arrival","Domestic","306,081"
"2018 Apr 18 03:12:41 PM","2018 Feb 01 12:00:00 AM","T7","Arrival","Domestic","286,693"
"2018 Nov 25 11:40:39 AM","2018 Oct 01 12:00:00 AM","T4","Departure","International","76,406"
"2018 Apr 18 03:12:41 PM","2013 Jun 01 12:00:00 AM","T4","Arrival","International","4,630"
"2018 Sep 26 09:27:08 AM","2018 Aug 01 12:00:00 AM","T5","Arrival","International","16,676"
"2018 Apr 18 03:12:41 PM","2010 Jun 01 12:00:00 AM","T5","Departure","Domestic","227,316"
"2018 Apr 18 03:12:41 PM","2009 Mar 01 12:00:00 AM","T2","Arrival","International","134,164"
"2018 Apr 18 03:12:41 PM","2013 Aug 01 12:00:00 AM","T3","Departure","Domestic","250,822"
"2018 Apr 18 03:12:41 PM","2015 Sep 01 12:00:00 AM","T3","Departure","Domestic","267,529"
"2018 Apr 18 03:12:41 PM","2016 Apr 01 12:00:00 AM","T5","Arrival","International","67,833"
"2019 Apr 29 01:10:30 PM","2019 Feb 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","107,935"
"2018 Apr 18 03:12:41 PM","2014 Feb 01 12:00:00 AM","T7","Departure","International","34,105"
"2018 Apr 18 03:12:41 PM","2014 Jun 01 12:00:00 AM","T6","Departure","International","81,317"
"2018 Apr 18 03:12:41 PM","2017 Jun 01 12:00:00 AM","Miscellaneous Terminal","Arrival","Domestic","126,028"
"2018 May 23 07:44:39 AM","2018 Apr 01 12:00:00 AM","T3","Departure","Domestic","338,420"
"2018 Dec 26 06:52:40 AM","2018 Nov 01 12:00:00 AM","TBIT","Departure","Domestic","20,608"
"2018 Apr 18 03:12:41 PM","2006 Jun 01 12:00:00 AM","T6","Departure","International","5,648"
"2018 Oct 29 10:20:51 AM","2016 Jul 01 12:00:00 AM","T2","Arrival","International","253,283"
"2018 Apr 18 03:12:41 PM","2011 Jul 01 12:00:00 AM","T3","Departure","International","80,330"
"2018 Apr 18 03:12:41 PM","2016 Nov 01 12:00:00 AM","T4","Arrival","Domestic","343,535"
"2020 May 10 06:01:34 AM","2020 Apr 01 12:00:00 AM","TBIT","Departure","Domestic","9"
"2018 Apr 18 03:12:41 PM","2006 Feb 01 12:00:00 AM","T4","Arrival","Domestic","341,132"
"2018 Apr 18 03:12:41 PM","2013 Nov 01 12:00:00 AM","TBIT","Arrival","Domestic","7,449"
"2018 May 23 07:44:39 AM","2018 Apr 01 12:00:00 AM","T4","Arrival","International","59,121"
